ID_TRANSACCION,IND_TRANSACCION,IND_ESTADO_OPERACION,FEC_OPERACION_CCE,FEC_RESPUESTA_CCE,FEC_REGISTRO,FEC_MODIFICO,VAL_SEGUNDOS_CCE,VAL_SEGUNDOS_CMACT
2119,SALIENTE,F,2025-11-02 17:31:14.000,2025-11-02 17:31:15.000,2025-11-02 17:31:14.610,2025-11-02 17:31:15.253,1.00,0.64
2123,SALIENTE,F,2025-11-02 18:35:41.000,2025-11-02 18:35:41.000,2025-11-02 18:35:41.003,2025-11-02 18:35:41.840,0.00,0.84
2124,SALIENTE,F,2025-11-02 18:49:28.000,2025-11-02 18:49:29.000,2025-11-02 18:49:28.757,2025-11-02 18:49:29.377,1.00,0.62
2125,SALIENTE,F,2025-11-02 19:07:20.000,2025-11-02 19:07:21.000,2025-11-02 19:07:20.793,2025-11-02 19:07:21.403,1.00,0.61
2126,SALIENTE,F,2025-11-02 19:29:15.000,2025-11-02 19:29:16.000,2025-11-02 19:29:15.757,2025-11-02 19:29:16.577,1.00,0.82
2127,SALIENTE,F,2025-11-02 20:00:35.000,2025-11-02 20:00:36.000,2025-11-02 20:00:35.517,2025-11-02 20:00:36.357,1.00,0.84
2158,SALIENTE,F,2025-11-03 10:52:19.000,2025-11-03 10:52:20.000,2025-11-03 10:52:19.873,2025-11-03 10:52:20.717,1.00,0.84
2161,SALIENTE,F,2025-11-03 12:13:29.000,2025-11-03 12:13:36.000,2025-11-03 12:13:29.290,2025-11-03 12:13:30.627,7.00,1.34
2162,SALIENTE,F,2025-11-03 12:20:29.000,2025-11-03 12:20:29.000,2025-11-03 12:20:29.117,2025-11-03 12:20:30.083,0.00,0.97
115,SALIENTE,F,2025-09-26 12:25:07.000,2025-09-26 12:25:13.000,2025-09-26 12:25:07.563,2025-09-26 12:25:08.773,6.00,1.21
119,SALIENTE,F,2025-09-26 15:36:46.000,2025-09-26 15:36:47.000,2025-09-26 15:36:46.947,2025-09-26 15:36:47.790,1.00,0.84
120,SALIENTE,F,2025-09-26 15:45:47.000,2025-09-26 15:45:53.000,2025-09-26 15:45:47.077,2025-09-26 15:45:48.307,6.00,1.23
121,SALIENTE,F,2025-09-26 15:49:37.000,2025-09-26 15:49:43.000,2025-09-26 15:49:37.110,2025-09-26 15:49:37.927,6.00,0.82
125,SALIENTE,F,2025-09-26 19:48:12.000,2025-09-26 19:48:13.000,2025-09-26 19:48:12.810,2025-09-26 19:48:13.653,1.00,0.84
128,SALIENTE,F,2025-09-26 21:00:59.000,2025-09-26 21:00:59.000,2025-09-26 21:00:59.943,2025-09-26 21:01:00.843,0.00,0.90
132,SALIENTE,F,2025-09-27 11:14:02.000,2025-09-27 11:14:08.000,2025-09-27 11:14:02.127,2025-09-27 11:14:03.027,6.00,0.90
135,SALIENTE,F,2025-09-27 18:22:57.000,2025-09-27 18:22:58.000,2025-09-27 18:22:57.783,2025-09-27 18:22:58.950,1.00,1.17
150,SALIENTE,F,2025-09-29 09:03:00.000,2025-09-29 09:03:06.000,2025-09-29 09:03:00.477,2025-09-29 09:03:01.740,6.00,1.26
152,SALIENTE,F,2025-09-29 09:08:20.000,2025-09-29 09:08:26.000,2025-09-29 09:08:20.100,2025-09-29 09:08:21.047,6.00,0.95
153,SALIENTE,F,2025-09-29 09:10:24.000,2025-09-29 09:10:24.000,2025-09-29 09:10:24.267,2025-09-29 09:10:25.277,0.00,1.01
157,SALIENTE,F,2025-09-29 09:23:34.000,2025-09-29 09:23:40.000,2025-09-29 09:23:34.210,2025-09-29 09:23:35.190,6.00,0.98
158,SALIENTE,F,2025-09-29 09:39:47.000,2025-09-29 09:39:47.000,2025-09-29 09:39:47.297,2025-09-29 09:39:48.080,0.00,0.78
159,SALIENTE,F,2025-09-29 09:49:52.000,2025-09-29 09:49:53.000,2025-09-29 09:49:52.663,2025-09-29 09:49:53.533,1.00,0.87
162,SALIENTE,F,2025-09-29 10:19:31.000,2025-09-29 10:19:32.000,2025-09-29 10:19:31.887,2025-09-29 10:19:32.673,1.00,0.79
165,SALIENTE,F,2025-09-29 10:33:35.000,2025-09-29 10:33:41.000,2025-09-29 10:33:35.810,2025-09-29 10:33:36.797,6.00,0.99
166,SALIENTE,F,2025-09-29 10:37:09.000,2025-09-29 10:37:15.000,2025-09-29 10:37:09.573,2025-09-29 10:37:10.310,6.00,0.74
192,SALIENTE,F,2025-09-29 14:39:19.000,2025-09-29 14:39:19.000,2025-09-29 14:39:19.257,2025-09-29 14:39:20.197,0.00,0.94
193,SALIENTE,F,2025-09-29 14:45:20.000,2025-09-29 14:45:26.000,2025-09-29 14:45:20.317,2025-09-29 14:45:21.253,6.00,0.94
194,SALIENTE,F,2025-09-29 15:27:45.000,2025-09-29 15:27:46.000,2025-09-29 15:27:45.807,2025-09-29 15:27:46.517,1.00,0.71
196,SALIENTE,F,2025-09-29 16:10:32.000,2025-09-29 16:10:34.000,2025-09-29 16:10:32.940,2025-09-29 16:10:34.337,2.00,1.40
199,SALIENTE,F,2025-09-29 17:06:59.000,2025-09-29 17:06:59.000,2025-09-29 17:06:59.333,2025-09-29 17:07:00.290,0.00,0.96
140,SALIENTE,F,2025-09-28 14:32:10.000,2025-09-28 14:32:11.000,2025-09-28 14:32:10.807,2025-09-28 14:32:11.940,1.00,1.13
141,SALIENTE,F,2025-09-28 17:08:48.000,2025-09-28 17:08:49.000,2025-09-28 17:08:48.537,2025-09-28 17:08:49.877,1.00,1.34
143,SALIENTE,F,2025-09-28 19:19:45.000,2025-09-28 19:19:46.000,2025-09-28 19:19:45.653,2025-09-28 19:19:46.627,1.00,0.97
181,SALIENTE,F,2025-09-29 13:29:40.000,2025-09-29 13:29:46.000,2025-09-29 13:29:40.053,2025-09-29 13:29:40.923,6.00,0.87
184,SALIENTE,F,2025-09-29 13:53:52.000,2025-09-29 13:53:58.000,2025-09-29 13:53:52.653,2025-09-29 13:53:53.677,6.00,1.02
205,SALIENTE,F,2025-09-29 19:17:31.000,2025-09-29 19:17:37.000,2025-09-29 19:17:31.083,2025-09-29 19:17:32.027,6.00,0.94
206,SALIENTE,F,2025-09-29 19:56:25.000,2025-09-29 19:56:26.000,2025-09-29 19:56:25.633,2025-09-29 19:56:26.713,1.00,1.08
207,SALIENTE,F,2025-09-29 21:03:12.000,2025-09-29 21:03:18.000,2025-09-29 21:03:12.187,2025-09-29 21:03:13.190,6.00,1.00
208,SALIENTE,F,2025-09-29 21:05:11.000,2025-09-29 21:05:17.000,2025-09-29 21:05:11.377,2025-09-29 21:05:12.127,6.00,0.75
209,SALIENTE,F,2025-09-29 21:06:30.000,2025-09-29 21:06:31.000,2025-09-29 21:06:30.867,2025-09-29 21:06:31.470,1.00,0.60
210,SALIENTE,F,2025-09-29 21:10:00.000,2025-09-29 21:10:06.000,2025-09-29 21:10:00.843,2025-09-29 21:10:01.727,6.00,0.88
211,SALIENTE,F,2025-09-29 21:17:43.000,2025-09-29 21:17:44.000,2025-09-29 21:17:43.570,2025-09-29 21:17:44.483,1.00,0.91
212,SALIENTE,F,2025-09-29 21:46:45.000,2025-09-29 21:46:45.000,2025-09-29 21:46:45.153,2025-09-29 21:46:46.017,0.00,0.86
214,SALIENTE,F,2025-09-30 00:52:07.000,2025-09-30 00:52:13.000,2025-09-30 00:52:07.203,2025-09-30 00:52:08.083,6.00,0.88
215,SALIENTE,F,2025-09-30 00:52:45.000,2025-09-30 00:52:51.000,2025-09-30 00:52:45.643,2025-09-30 00:52:46.503,6.00,0.86
220,SALIENTE,F,2025-09-30 08:31:06.000,2025-09-30 08:31:12.000,2025-09-30 08:31:06.240,2025-09-30 08:31:07.283,6.00,1.04
222,SALIENTE,F,2025-09-30 08:52:31.000,2025-09-30 08:52:37.000,2025-09-30 08:52:31.997,2025-09-30 08:52:32.790,6.00,0.79
1032,SALIENTE,F,2025-10-15 13:29:04.000,2025-10-15 13:29:04.000,2025-10-15 13:29:04.603,2025-10-15 13:29:05.503,0.00,0.90
1033,SALIENTE,F,2025-10-15 13:29:49.000,2025-10-15 13:29:49.000,2025-10-15 13:29:49.527,2025-10-15 13:29:50.630,0.00,1.10
1035,SALIENTE,F,2025-10-15 13:48:50.000,2025-10-15 13:48:50.000,2025-10-15 13:48:50.147,2025-10-15 13:48:51.040,0.00,0.89
1038,SALIENTE,F,2025-10-15 14:34:20.000,2025-10-15 14:34:21.000,2025-10-15 14:34:20.630,2025-10-15 14:34:21.650,1.00,1.02
1058,SALIENTE,F,2025-10-16 00:34:36.000,2025-10-16 00:34:36.000,2025-10-16 00:34:36.033,2025-10-16 00:34:37.050,0.00,1.02
1072,SALIENTE,F,2025-10-16 08:50:07.000,2025-10-16 08:50:13.000,2025-10-16 08:50:07.240,2025-10-16 08:50:08.497,6.00,1.26
1073,SALIENTE,F,2025-10-16 09:13:59.000,2025-10-16 09:14:00.000,2025-10-16 09:13:59.647,2025-10-16 09:14:00.390,1.00,0.74
1077,SALIENTE,F,2025-10-16 09:51:30.000,2025-10-16 09:51:30.000,2025-10-16 09:51:30.703,2025-10-16 09:51:31.763,0.00,1.06
1078,SALIENTE,F,2025-10-16 10:03:41.000,2025-10-16 10:03:41.000,2025-10-16 10:03:41.137,2025-10-16 10:03:42.090,0.00,0.95
1079,SALIENTE,F,2025-10-16 10:15:48.000,2025-10-16 10:15:49.000,2025-10-16 10:15:48.983,2025-10-16 10:15:50.047,1.00,1.06
1080,SALIENTE,F,2025-10-16 10:24:17.000,2025-10-16 10:24:17.000,2025-10-16 10:24:17.163,2025-10-16 10:24:17.867,0.00,0.70
1092,SALIENTE,F,2025-10-16 13:09:12.000,2025-10-16 13:09:13.000,2025-10-16 13:09:12.293,2025-10-16 13:09:13.487,1.00,1.19
1093,SALIENTE,F,2025-10-16 13:29:17.000,2025-10-16 13:29:17.000,2025-10-16 13:29:17.777,2025-10-16 13:29:18.783,0.00,1.01
1095,SALIENTE,F,2025-10-16 14:07:01.000,2025-10-16 14:07:01.000,2025-10-16 14:07:01.313,2025-10-16 14:07:02.023,0.00,0.71
1099,SALIENTE,F,2025-10-16 15:14:16.000,2025-10-16 15:14:22.000,2025-10-16 15:14:16.527,2025-10-16 15:14:17.363,6.00,0.84
1100,SALIENTE,F,2025-10-16 15:39:30.000,2025-10-16 15:39:30.000,2025-10-16 15:39:30.270,2025-10-16 15:39:31.000,0.00,0.73
