2025-09-22,1
2025-09-23,5
2025-09-24,4
2025-09-25,4
2025-09-26,7
2025-09-27,2
2025-09-28,3
2025-09-29,24
2025-09-30,26
2025-10-01,10
2025-10-02,8
2025-10-03,9
2025-10-04,9
2025-10-05,7
2025-10-06,17
2025-10-07,16
2025-10-08,23
2025-10-09,17
2025-10-10,20
2025-10-11,17
2025-10-12,14
2025-10-13,17
2025-10-14,35
2025-10-15,27
2025-10-16,23
2025-10-17,19
2025-10-18,21
2025-10-19,17
2025-10-20,31
2025-10-21,29
2025-10-22,28
2025-10-23,27
2025-10-24,32
2025-10-25,30
2025-10-26,24
2025-10-27,21
2025-10-28,22
2025-10-29,51
2025-10-30,49
2025-10-31,48
2025-11-01,30
2025-11-02,23
2025-11-03,41
2025-11-04,46
2025-11-05,44
2025-11-06,27
2025-11-07,26
2025-11-08,30
2025-11-09,25
2025-11-10,38
2025-11-11,61
2025-11-12,51
2025-11-13,63
2025-11-14,68
2025-11-15,69
2025-11-16,37
2025-11-17,52
2025-11-18,75
2025-11-19,65
2025-11-20,67
2025-11-21,51
2025-11-22,68
2025-11-23,44
2025-11-24,72
2025-11-25,57
2025-11-26,54
2025-11-27,60
2025-11-28,83
2025-11-29,111
2025-11-30,49
2025-12-01,80
2025-12-02,79
2025-12-03,55
2025-12-04,82
2025-12-05,84
2025-12-06,96
2025-12-07,47
2025-12-08,71
2025-12-09,80
2025-12-10,116
2025-12-11,153
2025-12-12,141
2025-12-13,129
2025-12-14,104
2025-12-15,126
2025-12-16,132
2025-12-17,111
2025-12-18,116
2025-12-19,150
2025-12-20,122
2025-12-21,88
2025-12-22,132
2025-12-23,131
2025-12-24,107
2025-12-25,43
2025-12-26,105
2025-12-27,80
2025-12-28,72
2025-12-29,124
2025-12-30,122
2025-12-31,240
